customers,marketing_spend,online_orders,avg_order_value,day_of_week,weather,revenue
152,5777.0,102,637.79,Fri,Rainy,38891.94
485,4854.0,81,392.44,Thu,Sunny,75271.71
398,3491.0,20,394.95,Tue,Sunny,52645.49
320,4124.0,114,616.31,Wed,Cloudy,57394.53
156,6691.0,23,267.14,Thu,Rainy,20705.51
121,4051.0,69,177.33,Thu,Rainy,347084.28
238,1004.0,39,348.24,Sun,Cloudy,37240.94
70,6222.0,44,301.07,Tue,Cloudy,25596.64
152,6315.0,174,307.42,Mon,Sunny,37867.98
171,,14,263.53,Tue,Sunny,29550.92
264,1876.0,92,129.47,Wed,Cloudy,38785.18
380,8027.0,132,112.51,Thu,Rainy,55596.42
137,5142.0,87,791.41,Tue,Sunny,35665.45
422,7966.0,163,399.44,Mon,,73262.82
149,8079.0,71,369.03,Sun,Rainy,31252.54
409,8987.0,141,575.75,Tue,Sunny,75708.78
201,7799.0,98,252.78,Fri,Rainy,40030.78
180,5465.0,51,764.97,Sun,Rainy,41581.45
199,1635.0,98,650.44,Mon,Rainy,44287.91
358,2693.0,155,162.59,Wed,Cloudy,52669.47
307,5752.0,49,392.31,Thu,Cloudy,1041252.8400000001
393,9311.0,81,715.38,Tue,Cloudy,67457.12
463,1830.0,48,761.31,Mon,Rainy,72541.22
343,6177.0,113,427.18,Sun,Rainy,54930.44
435,9932.0,23,529.39,Fri,Cloudy,64682.93
241,9308.0,41,216.92,Mon,Sunny,42129.52
493,6949.0,188,793.82,Sat,Rainy,76600.5
326,3838.0,134,262.17,Fri,Sunny,51341.61
210,2150.0,175,759.91,Sun,Sunny,39036.76
363,8560.0,106,554.75,Wed,Rainy,67925.42
71,,32,525.42,Thu,Rainy,25596.65
302,2664.0,72,458.88,Sun,Sunny,44534.64
285,2081.0,152,261.47,Wed,,49528.41
394,1512.0,162,223.57,Tue,Cloudy,64438.83
98,8805.0,154,254.34,Mon,Cloudy,34831.45
108,6237.0,62,230.51,Sat,Rainy,25579.5
219,1559.0,113,645.71,Fri,Cloudy,46534.37
237,4672.0,113,345.09,Fri,Cloudy,39757.29
320,8404.0,188,140.49,Mon,Cloudy,57046.16
239,4343.0,48,778.37,Sat,Cloudy,43894.43
495,5070.0,188,718.65,Mon,Sunny,79966.81
224,1580.0,143,749.43,Tue,Rainy,46715.77
495,8004.0,76,796.44,Wed,Cloudy,83287.45
100,9130.0,144,221.73,Sun,Sunny,35647.49
413,4147.0,188,377.37,Fri,Sunny,69263.93
104,5249.0,51,630.77,Tue,Sunny,31900.4
293,2679.0,24,587.21,Wed,Cloudy,50577.77
369,4506.0,120,207.73,Tue,Cloudy,70438.42
180,8253.0,166,671.08,Sat,Rainy,37518.44
356,3744.0,42,257.11,Fri,Cloudy,48232.18
184,6188.0,164,256.67,Sun,Cloudy,46450.73
70,3141.0,173,475.88,Mon,Sunny,24940.93
378,7617.0,166,515.06,Mon,Rainy,71908.52
216,3479.0,47,506.06,Wed,Cloudy,39794.15
323,7484.0,194,164.04,Sun,Cloudy,67433.81
437,8421.0,106,714.22,Thu,Sunny,69624.83
138,5452.0,164,285.92,Sat,Sunny,39519.4
365,6881.0,192,190.66,Wed,Cloudy,70512.61
63,7665.0,42,722.12,Thu,Rainy,21551.71
291,3849.0,95,768.96,Tue,Rainy,58197.95
314,8390.0,75,703.49,Sat,Sunny,53866.86
395,7905.0,19,666.66,Tue,Sunny,64824.71
102,3489.0,14,558.67,Sun,Cloudy,22828.31
435,5611.0,132,485.6,Fri,Sunny,58559.03
389,3839.0,83,160.89,Sat,Cloudy,58435.72
141,9527.0,106,385.92,Thu,Rainy,36347.1
416,6878.0,127,360.88,Fri,Rainy,74580.99
493,7303.0,47,281.83,Mon,Cloudy,74635.57
477,,150,606.39,Thu,Sunny,86771.07
313,2687.0,168,447.11,Wed,Rainy,55351.46
480,7833.0,56,156.73,Mon,Sunny,68489.7
84,3427.0,118,254.13,Mon,Rainy,21611.77
255,5000.0,189,578.28,Wed,Cloudy,50526.26
130,,193,153.29,Sat,Cloudy,21352.2
469,3738.0,24,695.84,Mon,Cloudy,69807.03
99,6732.0,166,446.6,Sun,Rainy,21925.33
409,,145,436.41,Thu,Sunny,70245.92
437,9002.0,14,514.69,Fri,Sunny,61861.65
51,6536.0,166,677.28,Mon,Sunny,25336.34
439,4913.0,56,343.47,Thu,Rainy,61215.4
103,2066.0,77,574.61,Tue,Rainy,25457.27
155,8723.0,85,496.01,Thu,Rainy,37302.89
309,5380.0,182,286.92,Fri,Rainy,60210.2
359,5107.0,139,715.04,Thu,Rainy,61953.55
240,,164,658.2,Wed,Sunny,54654.53
451,4373.0,104,560.92,Fri,Rainy,84886.54
267,9945.0,124,695.41,Sat,Rainy,58513.9
93,3082.0,173,707.11,Tue,Sunny,31979.8
211,9967.0,45,595.85,Wed,Rainy,40585.59
251,7748.0,35,685.91,Sat,Sunny,47385.39
495,1417.0,52,588.23,Thu,Sunny,67525.95
319,9306.0,36,576.1,Fri,Cloudy,57509.61
400,9808.0,78,533.03,Tue,Cloudy,68259.57
353,4974.0,157,626.9,Wed,Cloudy,52781.6
320,4267.0,20,211.02,Sat,Cloudy,45886.11
264,1825.0,83,716.61,Sat,Rainy,53419.88
301,8668.0,113,710.29,Tue,Cloudy,57363.19
239,6745.0,47,120.47,Sun,Sunny,34968.57
345,1412.0,143,678.07,Thu,Rainy,52962.15
262,8543.0,32,190.21,Tue,Cloudy,33437.59
257,8587.0,56,334.58,Sat,Sunny,49685.05
286,1728.0,99,620.46,Mon,Rainy,49051.91
387,8164.0,55,212.53,Wed,Rainy,62769.26
416,9867.0,116,672.58,Tue,Cloudy,81358.92
102,,149,682.49,Sun,Rainy,40123.99
329,3504.0,150,455.23,Sat,Sunny,53899.79
459,3967.0,113,104.47,Thu,Rainy,66194.99
266,3786.0,199,300.93,Sat,Sunny,46338.89
301,2122.0,120,531.85,Thu,Rainy,48253.91
237,5079.0,113,786.83,Tue,Cloudy,51669.73
429,2571.0,69,542.27,Thu,Sunny,60959.38
90,6073.0,180,281.86,Fri,Rainy,17840.54
206,6104.0,109,543.8,Fri,Rainy,38769.46
64,3143.0,77,477.99,Fri,Rainy,19679.84
350,7806.0,142,645.89,Sun,Sunny,72640.14
114,8357.0,129,174.89,Sun,Sunny,26984.26
394,4440.0,46,632.72,Mon,Sunny,65182.42
376,4766.0,81,478.89,Sun,Cloudy,59324.61
58,6644.0,136,774.09,Tue,Cloudy,36818.58
393,3914.0,115,339.31,Sat,Sunny,66916.33
178,5968.0,101,542.84,Sat,Rainy,45207.88
185,6917.0,40,752.42,Mon,Cloudy,32349.98
112,9787.0,131,171.76,Sun,Sunny,31429.62
188,1728.0,146,756.06,Thu,Rainy,46377.99
130,,60,581.52,Mon,Cloudy,31122.49
441,5492.0,38,147.49,Thu,Rainy,64608.93
212,1698.0,49,310.67,Thu,Rainy,34200.21
468,8186.0,50,595.72,Wed,Rainy,70420.68
338,1395.0,20,147.15,Sat,Rainy,36397.76
428,8400.0,160,507.52,Fri,Cloudy,70464.95
310,9082.0,10,342.12,Sun,Cloudy,63487.95
280,5171.0,55,534.64,Thu,Cloudy,46078.14
90,5360.0,110,132.02,Wed,,12771.35
77,3502.0,158,710.08,Sat,Cloudy,34256.05
184,1717.0,99,781.44,Fri,Rainy,44402.5
250,3782.0,119,778.21,Thu,Cloudy,57085.37
377,5946.0,173,624.76,Thu,Rainy,70373.09
317,6486.0,191,191.06,Mon,Sunny,59872.71
467,9335.0,66,630.78,Mon,Rainy,85470.79
82,5980.0,10,117.21,Sat,Rainy,13154.78
97,8266.0,72,115.49,Fri,Rainy,18865.9
456,5491.0,191,326.53,Thu,Sunny,68087.82
111,8192.0,64,442.05,Sat,Cloudy,28375.5
265,6588.0,124,639.29,Sat,Cloudy,60026.86
342,8651.0,177,578.31,Tue,Sunny,68125.79
148,4636.0,152,412.13,Sun,Rainy,37694.21
221,2167.0,158,291.54,Mon,Cloudy,31430.16
409,2062.0,184,797.99,Fri,Sunny,68433.52
263,3156.0,62,398.33,Thu,Cloudy,33981.46
84,8860.0,146,415.97,Sat,Sunny,36563.78
498,6161.0,189,214.54,Thu,Rainy,85285.13
276,6305.0,66,656.37,Tue,Cloudy,55207.38
150,7541.0,126,585.58,Fri,Sunny,34182.57
480,5729.0,163,254.54,Sat,Cloudy,81561.41
180,8330.0,178,157.67,Thu,Cloudy,38262.78
306,,44,576.35,Mon,,46560.15
54,9924.0,72,558.16,Sun,Cloudy,21569.58
267,5330.0,34,291.28,Tue,Sunny,40222.42
304,9010.0,99,765.6,Fri,Rainy,60369.89
447,7801.0,84,205.74,Tue,Sunny,66360.18
408,5846.0,47,402.63,Mon,Sunny,54962.91
332,7731.0,139,760.53,Fri,Sunny,70449.33
442,8241.0,144,393.81,Tue,Rainy,71986.92
256,1953.0,171,546.97,Wed,Cloudy,45468.18
64,3539.0,100,378.32,Mon,Cloudy,26737.51
395,8056.0,26,291.95,Mon,Cloudy,53607.02
91,2542.0,137,788.78,Mon,Rainy,23490.85
429,6293.0,180,386.53,Wed,Cloudy,77674.79
228,2191.0,196,725.87,Wed,Rainy,59257.79
112,7313.0,117,260.97,Thu,Cloudy,26744.47
401,7938.0,188,249.17,Sat,Cloudy,67378.1
280,3681.0,191,121.79,Sun,Sunny,42188.33
290,2540.0,161,556.17,Tue,Rainy,53252.01
101,7172.0,34,357.97,Thu,Sunny,22548.62
145,6541.0,189,705.05,Tue,Sunny,42147.91
437,2365.0,97,431.25,Sun,Sunny,67697.04
271,9691.0,170,777.74,Sat,Rainy,54948.17
456,9702.0,186,229.87,Wed,Rainy,73420.59
280,8494.0,38,708.04,Sat,Cloudy,43896.89
286,5312.0,72,643.62,Wed,,50048.96
192,2324.0,159,639.65,Sun,Cloudy,41976.78
220,4141.0,163,691.35,Sat,Sunny,49377.96
78,8419.0,165,632.72,Thu,Rainy,35033.88
85,4486.0,123,538.35,Fri,Rainy,32533.66
62,2810.0,58,191.87,Thu,Rainy,7767.72
209,7588.0,90,122.77,Tue,Sunny,30060.56
376,3923.0,93,744.59,Thu,Rainy,66722.04
236,6301.0,114,531.66,Sun,Sunny,36840.89
292,5186.0,186,657.58,Mon,Cloudy,59269.0
135,9905.0,157,437.07,Tue,Sunny,32628.59
333,6977.0,127,182.12,Sat,Cloudy,62487.47
115,5268.0,95,187.63,Tue,Sunny,26831.11
219,5748.0,72,579.9,Fri,Cloudy,42081.12
94,5849.0,198,401.21,Wed,Rainy,38015.95
111,,113,240.37,Sat,Cloudy,21025.74
490,7619.0,58,444.12,Tue,Rainy,70089.95
183,9647.0,80,144.95,Sat,Rainy,29544.58
333,4072.0,10,507.38,Sat,Cloudy,47003.1
77,7530.0,150,288.3,Sat,Sunny,27394.08
157,1504.0,188,658.29,Wed,Sunny,41787.31
93,2214.0,132,317.25,Sun,Sunny,29097.06
389,2531.0,193,418.65,Thu,Sunny,55510.93
335,8576.0,71,108.13,Sat,Sunny,51373.44
495,1823.0,41,150.71,Mon,Rainy,59628.23
380,1928.0,167,374.75,Sun,Sunny,60087.21
177,6029.0,38,435.96,Fri,Rainy,46173.42
397,1133.0,58,520.01,Wed,Rainy,60705.86
280,3105.0,182,304.16,Tue,Rainy,54243.72
239,4627.0,39,586.49,Wed,Cloudy,52932.41
274,7316.0,153,702.09,Tue,Cloudy,62550.94
434,2852.0,177,645.9,Wed,Rainy,70660.53
426,5910.0,28,127.73,Tue,Cloudy,52784.79
332,5175.0,27,436.35,Sat,Sunny,51724.53
495,6348.0,10,173.45,Thu,Sunny,64741.62
170,7190.0,87,269.43,Tue,Rainy,26920.84
165,2256.0,124,790.66,Tue,Sunny,40869.32
282,4376.0,184,199.75,Mon,Rainy,50866.48
308,6645.0,122,449.22,Tue,,63959.88
408,4486.0,123,532.71,Mon,Sunny,64880.63
247,4584.0,175,591.73,Fri,Cloudy,52333.76
460,9053.0,188,491.75,Sat,Sunny,75891.22
186,4330.0,72,106.84,Mon,,35352.45
367,3703.0,141,328.52,Thu,Rainy,58357.11
214,9662.0,138,462.4,Sun,Rainy,41382.64
274,9120.0,17,161.51,Sat,Rainy,43381.29
356,8114.0,166,345.44,Mon,Rainy,64645.41
283,2353.0,64,123.24,Sat,Cloudy,42167.37
221,6063.0,112,155.0,Sat,Cloudy,44524.88
201,9549.0,140,377.85,Sat,Cloudy,37186.67
364,8575.0,41,192.9,Fri,Rainy,51269.79
423,1667.0,19,497.28,Thu,Rainy,63701.74
209,5468.0,119,582.63,Wed,Rainy,40517.51
145,7819.0,171,660.41,Wed,Cloudy,43313.71
282,4719.0,133,240.11,Mon,Rainy,35768.12
229,3745.0,96,217.24,Sat,Sunny,52114.33
162,8483.0,64,173.2,Mon,Sunny,30675.81
367,1539.0,41,545.5,Fri,Rainy,61473.48
491,5964.0,187,594.53,Fri,Sunny,80274.66
101,5835.0,144,122.11,Tue,Sunny,27893.14
317,4775.0,102,755.35,Fri,Cloudy,65749.85
344,7042.0,17,136.38,Tue,Rainy,55638.33
435,8102.0,74,478.91,Thu,Rainy,68542.98
436,8312.0,66,596.34,Mon,Cloudy,70538.43
162,6320.0,76,709.68,Sun,Sunny,43959.03
150,7132.0,196,599.86,Thu,Sunny,54169.72
162,8891.0,81,661.21,Fri,Rainy,41482.36
489,3779.0,63,337.62,Thu,Sunny,79702.82
